Name,Food,Street,Phone,Rating
Yogurty's,frozen_yogurt,"Bloor Street West, Toronto",+1 843-390-3474,1.2
Queen's Pasta,italian,"Bloor Street West, Toronto",+1 791-625-2589,1.6
Indian Street Food Co.,Tacos,"Bayview Avenue, East York",+1 657-629-1951,1.1
Pii Nong Thai,asian;thai,"Queen St, Toronto",+1 605-234-8530,3.8
Melanie's Bistro,Burger,"Danforth Avenue, Toronto",+1 865-103-3405,2.6
Sunnyside Grill,Falafel,"Steeles Avenue West, North York",+1 707-702-1617,4.7
Prohibition Gastrohouse,Sushi,"Bloor St, Toronto",+1 938-509-7447,3.6
Kyo Sushi,sushi,"Lake Shore Boulevard West, Etobicoke",+1 698-708-4498,4.9
Fresh Kitchen + Juice Bar,Sushi,"Bloor Street West, Toronto",+1 807-329-9249,2.6
Estiatorio Soulas,greek,"Danforth Avenue, Toronto",+1 840-441-2192,2.7
Bar Centrale,italian,"Yonge Street, Toronto",+1 911-564-2393,2.2
BellyBuster,Tacos,"College Street, Toronto",+1 907-378-6684,2.2
Oh Geul Boh Geul Korean Restaurant,korean,"Yonge St, Toronto",+1 990-706-9683,3.4
Momofuku,noodle;ramen,"University Avenue, Toronto",+1 888-125-8804,2.2
The Black Hoof,Salad,"Dundas Street West, Toronto",+1 768-718-7233,4.5
Laguna Bay,filipino,"College St, Toronto",+1 946-886-4298,1.5
Gatto Wood Oven Pizza,pizza,"Bloor Street West, Toronto",+1 703-634-3119,3.4
La Capricciosa,italian;pizza,"Bloor Street West, Toronto",+1 843-146-8416,3.7
Yumi Japanese Restaurant,japanese,"Bloor Street West, Toronto",+1 810-880-5255,3.7
Falafel World,lebanese,"Bloor Street West, Toronto",+1 853-918-2166,4.5
Osmon's Restaurant,mediterranean,"Bloor Street West, Toronto",+1 758-387-7709,4.7
Marusya’s Kitchen,ukrainian,"Bloor Street West, Toronto",+1 712-783-4381,3.9
Tahini's,Burger,"Bloor Street West, Toronto",+1 856-190-1044,3.2
Chi Asian Tapas,Falafel,"Yonge Street, Toronto",+1 882-914-8651,4.2
Eggsmart,breakfast,"Bay Street, Toronto",+1 824-300-1996,3.6
Unknown,Pasta,"Carlton Street, Toronto",+1 877-593-4138,1.3
Pita & Hummus,Ramen,"Dundas Street West, Etobicoke",+1 947-641-9895,1.4
Sushi 2 GO,sushi,"Dundas Street West, Etobicoke",+1 825-483-5946,4.6
Freshii,salad,"York Mills Road, North York",+1 824-527-8309,3.9
Captain's Boil,seafood,"York Mills Road, North York",+1 973-506-2120,3
Via Cibo,italian,"Bay St, Toronto",+1 773-343-2176,3.3
Nigiriya Gourmet Sushi,sushi,"Millwood Road, East York",+1 782-816-4280,3
Kalyvia Restaurant,regional,"Danforth Avenue, Toronto",+1 824-217-5615,4.3
Nando's,chicken;portuguese,"Bay Street, Toronto",+1 856-740-7409,4
Big Pita,Ramen,"Front Street East, Toronto",+1 758-629-2523,2.5
Bocconcini Pizza and Wings,pizza,"Gerrard Street East, Toronto",+1 946-410-6087,3.9
Som Tum Jinda,Steak,"Bloor St, Toronto",+1 896-485-5727,4.9
Jazz Bistro,Falafel,"Victoria Street, Toronto",+1 999-143-5777,4
Carlton Restaurant,Salad,"Bloor St, Toronto",+1 913-198-4266,2.7
Avli Restaurant,greek,"Danforth Avenue, Toronto",+1 664-125-5376,1.8
Annona Restaurant,Tacos,"King St, Toronto",+1 946-810-9433,3.6
Dynasty Chinese Cuisine,chinese,"Dundas St, Toronto",+1 704-469-6907,1.6
Trattoria Nervosa,Falafel,"Bay St, Toronto",+1 624-638-2954,3.4
Utsav Indian Cuisine,indian,"Queen St, Toronto",+1 843-550-3202,1.9
Vaticano Ristorante,italian,"Dundas St, Toronto",+1 884-436-2338,4.9
Banh Mi Boys,banh_mi,"Queen Street West, Toronto",+1 917-190-9959,2.1
Unknown,Tacos,"King St, Toronto",+1 916-626-6631,4.6
Market Street Catch,seafood,"Market Street, Toronto",+1 950-767-4512,3.3
Pita Land,Burger,"Bay St, Toronto",+1 917-282-8341,1
Hot Beans,mexican,"Baldwin Street, Toronto",+1 921-734-3200,1.5
Amano Trattoria,fine_dining;italian,"Church Street, Toronto",+1 643-311-3935,1.5
Lara's Restaurant,international,"Bay St, Toronto",+1 809-325-9886,2.1
Kokyo Sushi,sushi,"College St, Toronto",+1 688-623-3882,1.8
King's BBQ Chicken Restaurant,regional,"Yonge St, Toronto",+1 923-612-7637,1.6
Giorgio D,italian,"College St, Toronto",+1 984-374-1573,4.5
Sunset Grill,american,"Spadina Ave, Toronto",+1 795-688-7697,1.7
Helen's Bar and Burgers,burger,"College St, Toronto",+1 668-574-6844,3.1
Lucy Ethiopian Restaurant,international,"Danforth Avenue, Toronto",+1 603-129-4010,1.9
Select Sandwich,Falafel,"King St, Toronto",+1 708-213-8098,1.4
Friendly House 24 hr,Pasta,"King St, Toronto",+1 686-870-2819,1.3
Alborz Restaurant,persian,"Yonge St, Toronto",+1 861-266-7171,3
Ajuker Fried Chicken,chicken,"Dundas St, Toronto",+1 670-590-4944,1.9
Yummi's,chinese,"College St, Toronto",+1 910-539-6220,2.5
Weslodge,Steak,"King Street West, Toronto",+1 740-733-6600,2
Patria,spanish,"King Street West, Toronto",+1 860-681-3726,4.3
Sunset Grill,american,"Wicksteed Avenue, Toronto",+1 979-888-1151,2.7
Golden Griddle,Falafel,"Laird Drive, Toronto",+1 916-691-9361,4.3
Mikado,japanese,"Laird Drive, Toronto",+1 653-295-5926,4.2
Bairrada Churrasqueira Grillhouse Express,international,"Dundas St, Toronto",+1 812-908-7952,1.5
Lula Lounge,international,"King St, Toronto",+1 841-129-6365,4.3
Pho Phuong,asian,"College St, Toronto",+1 926-743-7127,4.6
Atlantic Restaurant,Tacos,"Yonge St, Toronto",+1 800-628-8531,4.6
Four Aces Snack Bar,regional,"Spadina Ave, Toronto",+1 645-527-2009,2.2
Eggsmart,breakfast,"King St, Toronto",+1 843-731-6899,1.9
Nodo Liberty,Tacos,"Lynn Williams Street, Toronto",+1 845-676-4910,2.2
Ciao Europa,Salad,"King St, Toronto",+1 637-441-9962,3.8
Wild Wing,chicken,"Millwood Road, Toronto",+1 734-135-4684,1.3
Blue Nile Bar & Grill,Ramen,"Yonge St, Toronto",+1 778-504-8294,4.7
JABS,Steak,"St. Clair Avenue West, Toronto",+1 718-853-1324,3.7
Halibut House,fish_and_chips,"St. Clair Avenue West, Toronto",+1 849-527-2464,4.9
Pizzeria Badiali,pizza,"Dovercourt Road, Toronto",+1 609-131-2229,2.6
Julie's Restaurant & Bar,peruvian,"Dovercourt Road, Toronto",+1 703-892-1785,4.6
Cafe Saggio,italian,"Dundas St, Toronto",+1 640-808-4363,3.2
Earls,american,"King Street West, Toronto",+1 630-748-2488,4.1
Laterna Family Restaurant,BBQ,"Bloor St, Toronto",+1 614-501-3569,3
Rhum Corner,haitian,"Dundas Street West, Toronto",+1 764-822-8791,2.3
Thai Princess,thai,"King Street West, Toronto",+1 615-177-5272,2.8
Fusaro's Kitchen,italian,"Spadina Avenue, Toronto",+1 701-508-2219,1.8
WVRST,sausage,"King Street West, Toronto",+1 937-654-8268,3
Morgans on the Danforth,Burger,"Danforth Avenue, Toronto",+1 614-778-1513,3.1
Oxland Restaurant,chinese,"Queen St, Toronto",+1 983-563-3726,2.6
May Yan Seafood Restaurant 陸福海鮮酒家,chinese,"Sheppard Avenue East, Scarborough",+1 683-104-4018,2.1
Green Bamboo Vietnamese Cuisine,vietnamese,"Queen St, Toronto",+1 741-803-8212,2.2
Wild Wing,chicken,"Yonge St, Toronto",+1 969-844-1984,2
Ave Seoul Restaurant,korean,"Dundas St, Toronto",+1 872-985-6323,4.7
Kayagum,japanese;korean,"Yonge Street, North York",+1 822-547-5458,3.2
Cantine Bistro + Bar,italian,"Avenue Road, Toronto",+1 642-526-8544,3.6
Osteria Giulia,italian,"Avenue Road, Toronto",+1 689-181-7046,4.3
Dyne,Pasta,"King St, Toronto",+1 624-576-8519,3.6
Le Petit Chef,french,"Harbord Street, Toronto",+1 725-789-2461,2.2
Maki Sushi,sushi;japanese,"Wicksteed Avenue, Toronto",+1 694-379-7961,3.6
The Friendly Thai,thai,"Dundas Street West, Toronto",+1 682-507-4455,3.4
Al Pastor,mexican,"Dundas Street West, Toronto",+1 634-630-1144,3.8
North of Bombay,indian,"Dundas Street West, Toronto",+1 879-221-5003,4.1
Babos Döner,turkish,"Eglinton Avenue West, Toronto",+1 614-864-1260,4.2
Jump,Burger,"Yonge St, Toronto",+1 943-583-8006,3.6
OK2 Diner,Pasta,"Queen Street East, Toronto",+1 771-584-6778,4.2
Slowhand Sourdough Pizza,Salad,"Pape Avenue, Toronto",+1 629-125-4013,3.5
Unknown,BBQ,"Bay St, Toronto",+1 823-743-7274,1.5
Leslieville Pumps General Store & Kitchen,barbecue,"Queen Street East, Toronto",+1 713-878-1811,2.9
Naan Kebob,Pasta,"Laird Drive, East York",+1 617-314-8054,3.8
Iqbal Kebab & Sweet Centre,pakistani,"Thorncliffe Park Drive, East York",+1 872-741-1697,2.9
Swiss Chalet,chicken,"King St, Toronto",+1 843-919-3063,3.8
PomAnar Grill & Juicery,BBQ,"Spadina Ave, Toronto",+1 708-551-4715,2
Pho Saigon,vietnamese,"Eglinton Avenue East, Scarborough",+1 843-291-6403,4.7
Full House Chinese Cuisine,chinese,"Queen St, Toronto",+1 600-963-1775,1.5
Health Gourmet,chinese,"Midland Avenue, Toronto",+1 758-662-6901,2.7
Made in China Café,chinese;asian,"King St, Toronto",+1 610-640-6388,2.2
Korean Grill House,korean,"King St, Toronto",+1 619-893-3521,3.4
Kokoro Japanese Sushi House,sushi,"Harbord Street, Toronto",+1 720-663-6308,3.3
Harbord Fish & Chips,Salad,"Spadina Ave, Toronto",+1 993-797-7049,2.7
La Diperie,ice_cream,"Harbord Street, Toronto",+1 943-714-6387,2.1
Magic Noodle,asian,"Harbord Street, Toronto",+1 988-726-8967,1.7
Moxie's,bar&grill,"King St, Toronto",+1 697-476-7022,4.1
Hokkaido Ramen Santouka,japanese,"College St, Toronto",+1 969-678-6760,2.1
Esquire Restaurant,greek,"Bloor St, Toronto",+1 799-240-4608,1.7
Great Eastern,chinese,"Dundas St, Toronto",+1 962-879-6349,2.4
My Place,fish_and_chips,"Queen St, Toronto",+1 854-382-8951,3.1
Eggsmart,breakfast,"Yonge St, Toronto",+1 716-395-2987,1.2
Nimman,thai,"Lake Shore Boulevard West, Toronto",+1 869-307-8657,1.2
7 West,Falafel,"Charles Street West, Toronto",+1 624-576-8043,4.6
Amadeu's,portuguese,"Bloor St, Toronto",+1 765-629-2946,4.4
Hungary Thai,hungarian;thai,"Augusta Avenue, Toronto",+1 790-983-3922,3.5
Toritos Tapas Bar,spanish,"Augusta Avenue, Toronto",+1 820-199-2117,3.6
Valentina,mexican,"Bellevue Avenue, Toronto",+1 609-167-5366,4.2
Ugly Duk ling,Burger,"Bloor St, Toronto",+1 628-778-1190,1.6
Rosalinda,mexican,"Richmond Street West, Toronto",+1 872-648-7619,4.4
Dagu Rice Noodle,chinese,"Spadina Ave, Toronto",+1 612-782-4020,5
Denny's,american,"Bloor St, Toronto",+1 712-815-7207,2.3
Madras Centennial Cafe,indian,"Progress Avenue, Toronto",+1 686-271-5685,1.1
Beyond Banh Mi,Pasta,"College Street, Toronto",+1 855-224-4608,2.1
Pho Saigon Bangkok,thai,"Bay St, Toronto",+1 972-693-8832,3.6
Las San Sivar,salvadoran,"St. Clair Avenue West, Toronto",+1 706-952-8240,4.7
Victory's Kitchen,Falafel,"Gunns Road, Toronto",+1 738-960-3075,1.7
Café Phố Nhỏ,vietnamese,"Dundas Street West, Toronto",+1 920-267-1244,1.8
Piazza Manna,Tacos,"King St, Toronto",+1 774-620-1304,4.7
Maggies,Salad,"Spadina Ave, Toronto",+1 908-525-1021,4.3
Tokyo Kitchen,japanese,"College St, Toronto",+1 818-215-1080,3.8
Megumi Mazesoba,noodle,"Yonge St, Toronto",+1 680-358-8984,2.2
Gallery Sushi,sushi,"Dundas St, Toronto",+1 930-720-2334,1.5
Wild Wing,chicken,"Yonge St, Toronto",+1 992-918-5261,1.5
Greens Vegetarian Restaurant,chinese,"Yonge St, Toronto",+1 911-508-3756,1.1
Omai,japanese,"Baldwin Street, Toronto",+1 814-836-7354,4.6
JungSooNae,Tacos,"Spadina Ave, Toronto",+1 652-330-4102,1.1
St. Louis Bar & Grill,chicken,"St. Clair Avenue West, Toronto",+1 632-399-1376,1.4
Union Social Eatery,BBQ,"St. Clair Avenue West, Toronto",+1 879-472-4153,3.6
Mary Be Kitchen,Falafel,"St. Clair Avenue West, Toronto",+1 831-356-1139,4.6
Me Love Food Hub,Falafel,"St. Clair Avenue West, Toronto",+1 647-452-2567,4.2
Bistro Five 61,Salad,"Avenue Road, Toronto",+1 756-855-8224,2.2
The Hogtown Vegan,burger;fries,"College Street, Toronto",+1 861-838-2833,2.3
Tagpugan,filipino,"College Street, Toronto",+1 749-436-3544,3.4
Pho Ha Noi,vietnamese,"College Street, Toronto",+1 915-893-2832,2.7
Sue Fung,Steak,"College Street, Toronto",+1 818-405-3654,3.9
Nora,kebab,"College Street, Toronto",+1 922-852-3050,1.4
Fancy Franks,american,"College Street, Toronto",+1 789-351-4431,2.1
Taste Bender,BBQ,"College Street, Toronto",+1 820-246-1590,4.9
old.k,burger,"College Street, Toronto",+1 714-549-9565,1.1
Fresca Pizza & Pasta,pizza,"College Street, Toronto",+1 609-798-9207,3.7
Jack Astor's,american,"Yonge St, Toronto",+1 644-521-1900,4.5
Sushi Tower Japanese Restaurant,japanese,"Yonge Street, Toronto",+1 882-536-9269,3.5
Shawarma Max,Falafel,"Dundas St, Toronto",+1 981-877-4824,4.6
Pompette,Steak,"College Street, Toronto",+1 621-911-8841,4.6
thairoom,thai,"College Street, Toronto",+1 820-772-3705,1
Grancardo,Falafel,"Spadina Ave, Toronto",+1 914-308-6602,3.9
Firkin on Harbour,Sushi,"Yonge Street, Toronto",+1 649-288-2119,2.6
Bread & Bowl,Steak,"Murray Street, Toronto",+1 908-319-3734,2.1
Jaffna Street Food,sri_lankan,"Bay St, Toronto",+1 675-891-3506,4.5
Manpuku,japanese,"McCaul Street, Toronto",+1 911-501-7830,1.5
eggspectation,breakfast,"Queen St, Toronto",+1 673-694-8227,4.1
Rio 40 Restaurant,brazilian,"St. Clair Avenue West, Toronto",+1 953-581-2226,2.2
The Eagle Twins Restaurant,Pizza,"Dundas St, Toronto",+1 696-226-1992,2
St. Louis Bar & Grill,chicken,"Baldwin Street, Toronto",+1 807-192-3656,3.6
Fox & John's,Falafel,"Bloor Street West, Toronto",+1 846-905-4588,3.1
Lokum Eats,turkish,"St John's Road, Toronto",+1 962-907-5484,4.3
Siddhartha - Pure Vegetarian,indian,"Dundas St, Toronto",+1 659-449-3949,3
Udupi Palace,indian,"Queen St, Toronto",+1 605-752-8778,4.9
The Bar-Be-Que Hut,indian,"College St, Toronto",+1 964-263-4242,4.7
The Famous Indian Cuisine,Pasta,"Spadina Ave, Toronto",+1 662-565-4081,1.3
Lahore Paan Centre,Burger,"Bloor St, Toronto",+1 618-753-6458,2.4
India Paan,Pasta,"King St, Toronto",+1 726-738-4278,3
5 Spices,Salad,"College St, Toronto",+1 620-931-3556,3
Gautama,indian,"King St, Toronto",+1 675-725-8105,2.6
Swiss Chalet,chicken,"Queen St, Toronto",+1 657-582-6336,2.9
Freshii,salad,"Bay St, Toronto",+1 970-198-9239,3.6
Paese,italian,"Bathurst Street, North York",+1 979-406-6575,3.6
Noce Restaurant & Bar,italian,"Queen Street West, Toronto",+1 669-888-3195,2.9
Daol Korean Restaurant,korean,"Queen Street West, Toronto",+1 799-590-3907,1.1
Momo Dumpling Express,chinese;tibetian,"King St, Toronto",+1 826-455-6478,2.6
Panagio's,Ramen,"Dundas St, Toronto",+1 796-474-4416,4.4
Garden Cafe,sandwich;juice,"King St, Toronto",+1 674-867-9376,4.2
Mandarin,chinese,"College St, Toronto",+1 653-288-6026,4.5
Tekka Sushi,sushi,"Bay St, Toronto",+1 640-678-3632,2.8
Frecles Fox Restaurant,Burger,"King St, Toronto",+1 752-345-7674,3.2
Yummy Tummy Bar & Grill,Steak,"College St, Toronto",+1 742-712-3933,3.3
Banh Mi,Falafel,"College St, Toronto",+1 677-915-7353,1.4
Bar St. Lo,local,"Market Street, Toronto",+1 891-115-1419,1.6
Bowl and Snacks,Falafel,"Bloor St, Toronto",+1 608-368-6269,3.8
Cafe Zuzu,Steak,"King St, Toronto",+1 708-223-1269,2.1
Smith Bros. Steakhouse Tavern,Sushi,"King St, Toronto",+1 695-387-6589,4.3
Boston Pizza,pizza,"Warden Avenue, Scarborough",+1 619-406-5690,4.1
Ital Vital,Ramen,"Bay St, Toronto",+1 691-851-3573,3.6
Daio,japanese,"Carlton Street, Toronto",+1 714-154-7865,1.9
Sunny Morning,breakfast,"Dundas St, Toronto",+1 721-151-9690,4.5
Sweet Lulu,asian,"Temperance Street, Toronto",+1 882-286-3142,1.1
Gilaneh,international,"York Mills Road, North York",+1 797-862-4403,1.5
iQ Food Co.,Tacos,"York Street, Toronto",+1 606-722-8705,1.4
Patrician Grill,breakfast,"King Street East, Toronto",+1 782-265-2538,2.1
Hy's Steakhouse,steak_house,"Dundas St, Toronto",+1 960-114-5119,1.6
Asian Legends,asian,"Bay St, Toronto",+1 794-833-5002,2.8
Congee Star,asian,"King St, Toronto",+1 766-705-1999,1.4
Pho 88,vietnamese,"Spadina Ave, Toronto",+1 856-112-9103,3.1
Ming's Noodle Cafe,asian,"Queen St, Toronto",+1 799-396-6546,2.6
Triple A Bar,Pizza,"Adelaide Street East, Toronto",+1 765-893-1934,2.6
Chopin,polish,"Roncesvalles Avenue, Toronto",+1 800-559-3547,2.4
Ice Queen Restaurant,Sushi,"Roncesvalles Avenue, Toronto",+1 796-686-4597,3.8
Birria Catrina,mexican,"Roncesvalles Avenue, Toronto",+1 934-667-1407,4.2
The Friendly Thai,Burger,"Roncesvalles Avenue, Toronto",+1 905-880-8819,2.6
Taste of China Seafood Restaurant,chinese,"Spadina Avenue, Toronto",+1 869-682-8875,4.7
A Sezchuan Restaurant,Pasta,"Spadina Avenue, Toronto",+1 996-124-2060,2.3
Hungking,Steak,"Spadina Ave, Toronto",+1 695-917-4245,1.8
Pancho y Emiliano,Burger,"Augusta Avenue, Toronto",+1 693-439-5610,1.7
Pai Downtown,thai,"Duncan Street, Toronto",+1 669-589-2554,1.9
Kit Kat Italian Bar & Grill,italian,"King Street West, Toronto",+1 769-342-2281,1.9
Dine and Dim,chinese,"Gerrard Street East, Toronto",+1 817-187-2914,3.8
SOCO Kitchen + Bar,Pizza,"Lower Simcoe Street, Toronto",+1 849-896-7798,2.1
Farm’r,Burger,"The Esplanade, Toronto",+1 856-522-5176,2.7
Inner Circle Caribbean Cuisine,caribbean;guyanese,"Kennedy Road, Toronto",+1 838-976-5746,4.9
Pizzeria Libretto,pizza,"University Avenue, Toronto",+1 613-884-7314,4.5
Rol San,chinese,"Spadina Avenue, Toronto",+1 666-899-1468,4.6
Walhburgers,burger,"Blue Jays Way, Toronto",+1 893-699-4864,1.3
Cora,breakfast,"Dundas St, Toronto",+1 661-826-9643,3.2
Jacobs & Co. Steakhouse,Pasta,"Yonge St, Toronto",+1 883-194-8205,3.3
MARBL,Tacos,"King Street West, Toronto",+1 843-288-3549,3.7
Sunset Grill,american,"College St, Toronto",+1 911-837-9275,4.7
The Caledonian,scottish,"College Street, Toronto",+1 642-210-8698,3.1
Wild Wing,chicken,"College St, Toronto",+1 616-444-4872,1.5
Mughal Darbar,indian,"Kennedy Road, Toronto",+1 853-396-3651,2.5
Tenoch,mexican,"Dundas St, Toronto",+1 671-970-8743,3
George's Pizza,pizza,"College St, Toronto",+1 942-760-5405,1
Lobster House,chinese,"Dundas St, Toronto",+1 727-280-6621,1.1
TAVERNA mercatto,italian,"Bremner Boulevard, Toronto",+1 961-411-2928,3.2
Pho Lang Van,vietnamese,"Bay St, Toronto",+1 793-473-2030,1.3
Cora,breakfast,"College St, Toronto",+1 635-980-3572,3.8
Chae's Chester Fried Chicken Express,Burger,"Dundas St, Toronto",+1 978-493-5872,3.2
Mahal Kita Restaurant,filipino,"Bay St, Toronto",+1 999-174-1345,1
Pita Land,Sushi,"Bloor St, Toronto",+1 922-513-9290,4.1
Caribbean Taste,Sushi,"Bay St, Toronto",+1 735-298-6268,4.6
Garden Gate,chinese,"Queen Street East, Toronto",+1 873-573-8707,1.7
Haka legend,Salad,"Queen St, Scarborough",+1 925-534-4218,2.9
Slam Grill Restaurant & Bar,grill,"Keele Street, North York",+1 720-991-3049,4.6
Cora,breakfast,"King St, Toronto",+1 691-665-4132,4.7
Babu Catering,sri_lankan,"Sheppard Avenue East, Scarborough",+1 706-806-1513,4.8
Nando's,chicken;portuguese,"Queen St, Toronto",+1 923-703-2948,4
Sunset Grill,american,"Bay St, Toronto",+1 959-286-8017,3.9
The Place,Falafel,"Church Street, Toronto",+1 658-659-9024,2.4
Brassaii,mediterranean,"King Street West, Toronto",+1 615-445-9290,4.9
Cluny,Steak,"Queen St, Toronto",+1 791-378-8328,4.4
Gilead Café + Wine Bar,Pizza,"Gilead Place, Toronto",+1 654-269-9408,3.7
Congee Queen,chinese,"Yonge Street, North York",+1 766-686-3246,4.5
Swiss Chalet,chicken,"University Avenue, Toronto",+1 621-752-7556,3.2
Hunters Landing,Pizza,"Fort York Boulevard, Toronto",+1 956-930-6646,1.1
Pho Now,vietnamese,"Yonge St, Toronto",+1 653-651-4451,1.2
Duke's Refresher + Bar,Burger,"Yonge Street, Toronto",+1 927-571-7891,2.4
Cheffry's Bistro,Ramen,"Richmond Street West, Toronto",+1 611-561-7673,2
Roti Time,indian,"Dundas St, Toronto",+1 705-802-5218,2.3
Tea-N-Bannock,Ramen,"Gerrard Street East, Toronto",+1 982-721-5781,4
Tapas at Embrujo,spanish,"Spadina Ave, Toronto",+1 828-952-4534,1.1
Lucky Chinese Food,chinese,"Rogers Road, Toronto",+1 811-703-3610,1.9
Churrasquerira Martins Grill House,portuguese,"Yonge St, Toronto",+1 662-459-8105,2.2
Evviva,breakfast,"Lower Simcoe Street, Toronto",+1 968-661-8735,3
Tavoos Restaurant,Falafel,"College Street, Toronto",+1 661-576-3898,4.9
Hello Darling,brunch,"Lansdowne Avenue, Toronto",+1 971-182-5647,3.3
Kovalsky Restaurant,polish,"The Queensway, Toronto",+1 796-715-5707,2.6
Three Brothers Restaurant,Pizza,"The Queensway, Toronto",+1 643-832-1610,1.2
Grappa,Pizza,"The Queensway, Toronto",+1 997-658-2819,1.3
Izba Restaurant,Steak,"The Queensway, Toronto",+1 954-814-8010,1.6
Luci Restaurant,Salad,"The Queensway, Toronto",+1 631-273-6276,2.9
Mamma Martino's,italian,"The Queensway, Toronto",+1 692-753-9249,3.1
Ruyi Garden,chinese,"The Queensway, Toronto",+1 739-581-6357,2.6
City Fried Chicken & Pizza,chicken,"Danforth Avenue, Toronto",+1 913-820-4220,2.1
Hoai Huong,vietnamese,"The Queensway, Toronto",+1 777-391-8851,1.9
Yuzuki Fish Market,sushi;fish;japanese,"Spadina Avenue, Toronto",+1 663-220-5171,4.6
Barque Smokehouse,Sushi,"Roncesvalles Avenue, Toronto",+1 880-544-5640,4.8
Pizzeria Defina,Burger,"Roncesvalles Avenue, Toronto",+1 704-544-3985,4.5
Gales Snack bar,breakfast;sandwich;burger,"Queen St, Toronto",+1 689-793-2840,1.8
Swiss Chalet,chicken,"Dundas St, Toronto",+1 726-397-6757,1.4
Hibachi Teppanyaki & Bar,Falafel,"Wellington Street West, Toronto",+1 711-118-2982,1.6
The Olive Restaurant & Grill,Falafel,"Bloor St, Toronto",+1 657-414-3896,2.9
Jolly II Italian Restaurant,Falafel,"Dundas St, Toronto",+1 721-113-8977,4
Wakame Sushi,sushi,"Yonge St, Toronto",+1 852-830-6042,3.2
Simply Thai Cuisine,thai,"Bloor Street West, Toronto",+1 902-141-9814,5
Golden Wok,chinese,"King St, Toronto",+1 989-959-6170,2.4
Famous Laffa,Falafel,"Bay St, Toronto",+1 722-786-7685,3.8
Kiva's,dessert;bagel,"Steeles Avenue West, North York",+1 943-537-4753,1.8
Buster's Sea Cove,fish_and_chips,"Bloor St, Toronto",+1 893-534-3298,4.7
Red Hot Tandoori,tandoori,"Danforth Avenue, Toronto",+1 884-793-5555,3.1
Wing Wing Restaurant,chinese,"Bloor St, Toronto",+1 714-439-6996,1.7
Golden Thai,thai,"Church Street, Toronto",+1 793-884-9461,2.7
Gyu-Kaku,japanese;barbecue,"Church Street, Toronto",+1 809-605-3879,2
Fort York Tavern,Salad,"Fort York Boulevard, Toronto",+1 856-721-7030,3.7
Lucky Indian Style Chinese Food,indian;chinese,"Lawrence Avenue East, Scarborough",+1 935-824-1390,3.8
Jaipur Grille,indian,"Queens Quay West, Toronto",+1 723-451-9854,2.1
Hakka #1,hakka,"Spadina Ave, Toronto",+1 883-325-6916,2.2
Lakeside Local Bar & Grill,Steak,"King St, Toronto",+1 643-721-3889,1.8
Hoya Sushi,sushi,"Yonge St, Toronto",+1 860-170-7078,4.5
Burger Boy Restaurant,burger,"Bloor St, Toronto",+1 620-700-1108,3
Callaloo Taste of the Caribbean,caribbean,"Dundas St, Toronto",+1 646-170-1976,3.2
Flava Ceen,caribbean,"Bay St, Toronto",+1 973-965-5926,4.6
Unknown,Burger,"Yonge St, Toronto",+1 884-852-8364,2.9
The Only Cuisine,Pizza,"Bay St, Toronto",+1 836-140-5590,4.9
Kabul-Tehran Restaurant,Burger,"King St, Toronto",+1 626-608-8138,5
Pho Thien Phat,vietnamese,"Spadina Ave, Toronto",+1 876-987-7488,3.1
Mulan Chinese Cuisine,chinese,"King St, Toronto",+1 696-956-9452,4.5
Freshii,salad,"Dundas Street West, Toronto",+1 691-479-9639,4.8
Lee Restaurant,Ramen,"Bloor St, Toronto",+1 715-151-1253,4.3
Lou Dawgs,Pasta,"Dundas St, Toronto",+1 726-906-1952,1.5
Public Gardens,BBQ,"King Street West, Toronto",+1 617-782-9491,1.1
Ethiopian House Restaurant,ethiopian,"Irwin Avenue, Toronto",+1 952-858-1016,3.3
Kothur,indian,"Lake Shore Boulevard West, Toronto",+1 935-342-3255,5
il ponte,italian,"King St, Toronto",+1 968-820-7260,2
Robo Sushi,asian,"York Mills Road, North York",+1 892-848-9988,1.6
Nomé Izakaya,japanese,"Spadina Ave, Toronto",+1 922-840-2605,3.2
Fabbrica,italian,"Karl Fraser Road, Toronto",+1 647-561-6013,3.7
The Green Room,Burger,"Bay St, Toronto",+1 678-731-9457,1
Harvest Green,Burger,"Wellington Street West, Toronto",+1 869-769-5236,1.4
Carnival,indian,"Bloor St, Toronto",+1 809-739-7015,1.4
Seraphia Inspired Cuisine,Salad,"Yonge St, Toronto",+1 652-467-9898,4.4
Sushi & Tea,sushi,"King St, Toronto",+1 791-434-8234,4.9
Unknown,sushi,"Queen St, Toronto",+1 935-360-3174,2.4
Jodie's Restaurant,Tacos,"Dundas St, Toronto",+1 688-341-8942,4.2
tuanzhang,sushi,"Bay St, Toronto",+1 604-400-4354,2.4
cross-the-bridge noodle,noodle,"Spadina Ave, Toronto",+1 801-590-2878,3.2
Firkin on the Bay,british,"Marine Parade Drive, Toronto",+1 860-647-4449,2.3
Canton Chili,Salad,"Spadina Avenue, Toronto",+1 654-978-3743,2.3
Urban Fare Catering & Food Shop,Pizza,"Bay St, Toronto",+1 681-712-2144,4.4
Noodles,BBQ,"Yonge St, Toronto",+1 841-981-4189,2.1
Z-teca Gourmet Burritos,Sushi,"Dundas St, Toronto",+1 813-234-2683,2.3
Swiss Chalet,chicken,"Bay St, Toronto",+1 983-181-5659,3.2
