Name,Food,Street,Phone,Rating
Osteria Giulia,italian,"Ave Rd, Toronto",+1 689-181-7046,4.3
Dyne,Pasta,"King St, Toronto",+1 624-576-8519,3.6
Le Petit Chef,french,"Harbord St, Toronto",+1 725-789-2461,2.2
Maki Sushi,sushi;japanese,"Wicksteed Ave, Toronto",+1 694-379-7961,3.6
The Friendly Thai,thai,"Dundas St W, Toronto",+1 682-507-4455,3.4
Al Pastor,mexican,"Dundas St W, Toronto",+1 634-630-1144,3.8
North of Bombay,indian,"Dundas St W, Toronto",+1 879-221-5003,4.1
Babos Döner,turkish,"Eglinton Ave W, Toronto",+1 614-864-1260,4.2
Jump,Burger,"Yonge St, Toronto",+1 943-583-8006,3.6
OK2 Diner,Pasta,"Queen St E, Toronto",+1 771-584-6778,4.2
Slowhand Sourdough Pizza,Salad,"Pape Ave, Toronto",+1 629-125-4013,3.5
Leslieville Pumps General Store & Kitchen,barbecue,"Queen St E, Toronto",+1 713-878-1811,2.9
Naan Kebob,Pasta,"Laird Dr, E York",+1 617-314-8054,3.8
Iqbal Kebab & Sweet Centre,pakistani,"Thorncliffe Park Dr, E York",+1 872-741-1697,2.9
PomAnar Grill & Juicery,BBQ,"Spadina Ave, Toronto",+1 708-551-4715,2.0
Pho Saigon,vietnamese,"Eglinton Ave E, Scarborough",+1 843-291-6403,4.7
Full House Chinese Cuisine,chinese,"Queen St, Toronto",+1 600-963-1775,1.5
Health Gourmet,chinese,"Midland Ave, Toronto",+1 758-662-6901,2.7
Made in China Café,chinese;asian,"King St, Toronto",+1 610-640-6388,2.2
Korean Grill House,korean,"King St, Toronto",+1 619-893-3521,3.4
Kokoro Japanese Sushi House,sushi,"Harbord St, Toronto",+1 720-663-6308,3.3
Harbord Fish & Chips,Salad,"Spadina Ave, Toronto",+1 993-797-7049,2.7
La Diperie,ice_cream,"Harbord St, Toronto",+1 943-714-6387,2.1
Magic Noodle,asian,"Harbord St, Toronto",+1 988-726-8967,1.7
Hokkaido Ramen Santouka,japanese,"College St, Toronto",+1 969-678-6760,2.1
Esquire Restaurant,greek,"Bloor St, Toronto",+1 799-240-4608,1.7
Great Eastern,chinese,"Dundas St, Toronto",+1 962-879-6349,2.4
My Place,fish_and_chips,"Queen St, Toronto",+1 854-382-8951,3.1
Nimman,thai,"Lake Shore Blvd W, Toronto",+1 869-307-8657,1.2
7 West,Falafel,"Charles St W, Toronto",+1 624-576-8043,4.6
Amadeu's,portuguese,"Bloor St, Toronto",+1 765-629-2946,4.4
Hungary Thai,hungarian;thai,"Augusta Ave, Toronto",+1 790-983-3922,3.5
Toritos Tapas Bar,spanish,"Augusta Ave, Toronto",+1 820-199-2117,3.6
Valentina,mexican,"Bellevue Ave, Toronto",+1 609-167-5366,4.2
Ugly Duk ling,Burger,"Bloor St, Toronto",+1 628-778-1190,1.6
Rosalinda,mexican,"Richmond St W, Toronto",+1 872-648-7619,4.4
Dagu Rice Noodle,chinese,"Spadina Ave, Toronto",+1 612-782-4020,5.0
Denny's,american,"Bloor St, Toronto",+1 712-815-7207,2.3
Madras Centennial Cafe,indian,"Progress Ave, Toronto",+1 686-271-5685,1.1
Beyond Banh Mi,Pasta,"College St, Toronto",+1 855-224-4608,2.1
Pho Saigon Bangkok,thai,"Bay St, Toronto",+1 972-693-8832,3.6
Las San Sivar,salvadoran,"St. Clair Ave W, Toronto",+1 706-952-8240,4.7
Victory's Kitchen,Falafel,"Gunns Rd, Toronto",+1 738-960-3075,1.7
Café Phố Nhỏ,vietnamese,"Dundas St W, Toronto",+1 920-267-1244,1.8
Piazza Manna,Tacos,"King St, Toronto",+1 774-620-1304,4.7
Maggies,Salad,"Spadina Ave, Toronto",+1 908-525-1021,4.3
Tokyo Kitchen,japanese,"College St, Toronto",+1 818-215-1080,3.8
Megumi Mazesoba,noodle,"Yonge St, Toronto",+1 680-358-8984,2.2
Gallery Sushi,sushi,"Dundas St, Toronto",+1 930-720-2334,1.5
Greens Vegetarian Restaurant,chinese,"Yonge St, Toronto",+1 911-508-3756,1.1
Omai,japanese,"Baldwin St, Toronto",+1 814-836-7354,4.6
JungSooNae,Tacos,"Spadina Ave, Toronto",+1 652-330-4102,1.1
St. Louis Bar & Grill,chicken,"St. Clair Ave W, Toronto",+1 632-399-1376,1.4
Union Social Eatery,BBQ,"St. Clair Ave W, Toronto",+1 879-472-4153,3.6
Mary Be Kitchen,Falafel,"St. Clair Ave W, Toronto",+1 831-356-1139,4.6
Me Love Food Hub,Falafel,"St. Clair Ave W, Toronto",+1 647-452-2567,4.2
Bistro Five 61,Salad,"Ave Rd, Toronto",+1 756-855-8224,2.2
The Hogtown Vegan,burger;fries,"College St, Toronto",+1 861-838-2833,2.3
Tagpugan,filipino,"College St, Toronto",+1 749-436-3544,3.4
Pho Ha Noi,vietnamese,"College St, Toronto",+1 915-893-2832,2.7
Sue Fung,Steak,"College St, Toronto",+1 818-405-3654,3.9
Nora,kebab,"College St, Toronto",+1 922-852-3050,1.4
Fancy Franks,american,"College St, Toronto",+1 789-351-4431,2.1
Taste Bender,BBQ,"College St, Toronto",+1 820-246-1590,4.9
old.k,burger,"College St, Toronto",+1 714-549-9565,1.1
Fresca Pizza & Pasta,pizza,"College St, Toronto",+1 609-798-9207,3.7
Sushi Tower Japanese Restaurant,japanese,"Yonge St, Toronto",+1 882-536-9269,3.5
Shawarma Max,Falafel,"Dundas St, Toronto",+1 981-877-4824,4.6
Pompette,Steak,"College St, Toronto",+1 621-911-8841,4.6
thairoom,thai,"College St, Toronto",+1 820-772-3705,1.0
Grancardo,Falafel,"Spadina Ave, Toronto",+1 914-308-6602,3.9
Firkin on Harbour,Sushi,"Yonge St, Toronto",+1 649-288-2119,2.6
Bread & Bowl,Steak,"Murray St, Toronto",+1 908-319-3734,2.1
Jaffna Street Food,sri_lankan,"Bay St, Toronto",+1 675-891-3506,4.5
Manpuku,japanese,"McCaul St, Toronto",+1 911-501-7830,1.5
eggspectation,breakfast,"Queen St, Toronto",+1 673-694-8227,4.1
Rio 40 Restaurant,brazilian,"St. Clair Ave W, Toronto",+1 953-581-2226,2.2
The Eagle Twins Restaurant,Pizza,"Dundas St, Toronto",+1 696-226-1992,2.0
St. Louis Bar & Grill,chicken,"Baldwin St, Toronto",+1 807-192-3656,3.6
Fox & John's,Falafel,"Bloor St W, Toronto",+1 846-905-4588,3.1
Lokum Eats,turkish,"St John's Rd, Toronto",+1 962-907-5484,4.3
Siddhartha - Pure Vegetarian,indian,"Dundas St, Toronto",+1 659-449-3949,3.0
Udupi Palace,indian,"Queen St, Toronto",+1 605-752-8778,4.9
The Bar-Be-Que Hut,indian,"College St, Toronto",+1 964-263-4242,4.7
The Famous Indian Cuisine,Pasta,"Spadina Ave, Toronto",+1 662-565-4081,1.3
Lahore Paan Centre,Burger,"Bloor St, Toronto",+1 618-753-6458,2.4
India Paan,Pasta,"King St, Toronto",+1 726-738-4278,3.0
5 Spices,Salad,"College St, Toronto",+1 620-931-3556,3.0
Gautama,indian,"King St, Toronto",+1 675-725-8105,2.6
Paese,italian,"Bathurst St, N York",+1 979-406-6575,3.6
Noce Restaurant & Bar,italian,"Queen St W, Toronto",+1 669-888-3195,2.9
Daol Korean Restaurant,korean,"Queen St W, Toronto",+1 799-590-3907,1.1
Momo Dumpling Express,chinese;tibetian,"King St, Toronto",+1 826-455-6478,2.6
Panagio's,Ramen,"Dundas St, Toronto",+1 796-474-4416,4.4
Garden Cafe,sandwich;juice,"King St, Toronto",+1 674-867-9376,4.2
Mandarin,chinese,"College St, Toronto",+1 653-288-6026,4.5
Tekka Sushi,sushi,"Bay St, Toronto",+1 640-678-3632,2.8
Frecles Fox Restaurant,Burger,"King St, Toronto",+1 752-345-7674,3.2
Yummy Tummy Bar & Grill,Steak,"College St, Toronto",+1 742-712-3933,3.3
Banh Mi,Falafel,"College St, Toronto",+1 677-915-7353,1.4
Bar St. Lo,local,"Market St, Toronto",+1 891-115-1419,1.6
Bowl and Snacks,Falafel,"Bloor St, Toronto",+1 608-368-6269,3.8
Cafe Zuzu,Steak,"King St, Toronto",+1 708-223-1269,2.1
Smith Bros. Steakhouse Tavern,Sushi,"King St, Toronto",+1 695-387-6589,4.3
Boston Pizza,pizza,"Warden Ave, Scarborough",+1 619-406-5690,4.1
Ital Vital,Ramen,"Bay St, Toronto",+1 691-851-3573,3.6
Daio,japanese,"Carlton St, Toronto",+1 714-154-7865,1.9
Sunny Morning,breakfast,"Dundas St, Toronto",+1 721-151-9690,4.5
Sweet Lulu,asian,"Temperance St, Toronto",+1 882-286-3142,1.1
Gilaneh,international,"York Mills Rd, N York",+1 797-862-4403,1.5
iQ Food Co.,Tacos,"York St, Toronto",+1 606-722-8705,1.4
Patrician Grill,breakfast,"King St E, Toronto",+1 782-265-2538,2.1
Hy's Steakhouse,steak_house,"Dundas St, Toronto",+1 960-114-5119,1.6
Asian Legends,asian,"Bay St, Toronto",+1 794-833-5002,2.8
Congee Star,asian,"King St, Toronto",+1 766-705-1999,1.4
Pho 88,vietnamese,"Spadina Ave, Toronto",+1 856-112-9103,3.1
Ming's Noodle Cafe,asian,"Queen St, Toronto",+1 799-396-6546,2.6
Triple A Bar,Pizza,"Adelaide St E, Toronto",+1 765-893-1934,2.6
Chopin,polish,"Roncesvalles Ave, Toronto",+1 800-559-3547,2.4
Ice Queen Restaurant,Sushi,"Roncesvalles Ave, Toronto",+1 796-686-4597,3.8
Birria Catrina,mexican,"Roncesvalles Ave, Toronto",+1 934-667-1407,4.2
The Friendly Thai,Burger,"Roncesvalles Ave, Toronto",+1 905-880-8819,2.6
Taste of China Seafood Restaurant,chinese,"Spadina Ave, Toronto",+1 869-682-8875,4.7
A Sezchuan Restaurant,Pasta,"Spadina Ave, Toronto",+1 996-124-2060,2.3
Hungking,Steak,"Spadina Ave, Toronto",+1 695-917-4245,1.8
Pancho y Emiliano,Burger,"Augusta Ave, Toronto",+1 693-439-5610,1.7
Pai Downtown,thai,"Duncan St, Toronto",+1 669-589-2554,1.9
Kit Kat Italian Bar & Grill,italian,"King St W, Toronto",+1 769-342-2281,1.9
Dine and Dim,chinese,"Gerrard St E, Toronto",+1 817-187-2914,3.8
SOCO Kitchen + Bar,Pizza,"Lower Simcoe St, Toronto",+1 849-896-7798,2.1
Farm’r,Burger,"The Esplanade, Toronto",+1 856-522-5176,2.7
Inner Circle Caribbean Cuisine,caribbean;guyanese,"Kennedy Rd, Toronto",+1 838-976-5746,4.9
Pizzeria Libretto,pizza,"University Ave, Toronto",+1 613-884-7314,4.5
Rol San,chinese,"Spadina Ave, Toronto",+1 666-899-1468,4.6
Walhburgers,burger,"Blue Jays Way, Toronto",+1 893-699-4864,1.3
Jacobs & Co. Steakhouse,Pasta,"Yonge St, Toronto",+1 883-194-8205,3.3
MARBL,Tacos,"King St W, Toronto",+1 843-288-3549,3.7
Sunset Grill,american,"College St, Toronto",+1 911-837-9275,4.7
The Caledonian,scottish,"College St, Toronto",+1 642-210-8698,3.1
Wild Wing,chicken,"College St, Toronto",+1 616-444-4872,1.5
Mughal Darbar,indian,"Kennedy Rd, Toronto",+1 853-396-3651,2.5
Tenoch,mexican,"Dundas St, Toronto",+1 671-970-8743,3.0
George's Pizza,pizza,"College St, Toronto",+1 942-760-5405,1.0
Lobster House,chinese,"Dundas St, Toronto",+1 727-280-6621,1.1
TAVERNA mercatto,italian,"Bremner Blvd, Toronto",+1 961-411-2928,3.2
Pho Lang Van,vietnamese,"Bay St, Toronto",+1 793-473-2030,1.3
Cora,breakfast,"College St, Toronto",+1 635-980-3572,3.8
Chae's Chester Fried Chicken Express,Burger,"Dundas St, Toronto",+1 978-493-5872,3.2
Mahal Kita Restaurant,filipino,"Bay St, Toronto",+1 999-174-1345,1.0
Pita Land,Sushi,"Bloor St, Toronto",+1 922-513-9290,4.1
Caribbean Taste,Sushi,"Bay St, Toronto",+1 735-298-6268,4.6
Garden Gate,chinese,"Queen St E, Toronto",+1 873-573-8707,1.7
Haka legend,Salad,"Queen St, Scarborough",+1 925-534-4218,2.9
Slam Grill Restaurant & Bar,grill,"Keele St, N York",+1 720-991-3049,4.6
Cora,breakfast,"King St, Toronto",+1 691-665-4132,4.7
Babu Catering,sri_lankan,"Sheppard Ave E, Scarborough",+1 706-806-1513,4.8
Nando's,chicken;portuguese,"Queen St, Toronto",+1 923-703-2948,4.0
The Place,Falafel,"Church St, Toronto",+1 658-659-9024,2.4
Brassaii,mediterranean,"King St W, Toronto",+1 615-445-9290,4.9
Cluny,Steak,"Queen St, Toronto",+1 791-378-8328,4.4
Gilead Café + Wine Bar,Pizza,"Gilead Place, Toronto",+1 654-269-9408,3.7
Congee Queen,chinese,"Yonge St, N York",+1 766-686-3246,4.5
Swiss Chalet,chicken,"University Ave, Toronto",+1 621-752-7556,3.2
Hunters Landing,Pizza,"Fort York Blvd, Toronto",+1 956-930-6646,1.1
Pho Now,vietnamese,"Yonge St, Toronto",+1 653-651-4451,1.2
Duke's Refresher + Bar,Burger,"Yonge St, Toronto",+1 927-571-7891,2.4
Cheffry's Bistro,Ramen,"Richmond St W, Toronto",+1 611-561-7673,2.0
Roti Time,indian,"Dundas St, Toronto",+1 705-802-5218,2.3
Tea-N-Bannock,Ramen,"Gerrard St E, Toronto",+1 982-721-5781,4.0
Tapas at Embrujo,spanish,"Spadina Ave, Toronto",+1 828-952-4534,1.1
Lucky Chinese Food,chinese,"Rogers Rd, Toronto",+1 811-703-3610,1.9
Churrasquerira Martins Grill House,portuguese,"Yonge St, Toronto",+1 662-459-8105,2.2
Evviva,breakfast,"Lower Simcoe St, Toronto",+1 968-661-8735,3.0
Tavoos Restaurant,Falafel,"College St, Toronto",+1 661-576-3898,4.9
Hello Darling,brunch,"Lansdowne Ave, Toronto",+1 971-182-5647,3.3
Kovalsky Restaurant,polish,"The Queensway, Toronto",+1 796-715-5707,2.6
Three Brothers Restaurant,Pizza,"The Queensway, Toronto",+1 643-832-1610,1.2
Grappa,Pizza,"The Queensway, Toronto",+1 997-658-2819,1.3
Izba Restaurant,Steak,"The Queensway, Toronto",+1 954-814-8010,1.6
Luci Restaurant,Salad,"The Queensway, Toronto",+1 631-273-6276,2.9
Mamma Martino's,italian,"The Queensway, Toronto",+1 692-753-9249,3.1
Ruyi Garden,chinese,"The Queensway, Toronto",+1 739-581-6357,2.6
City Fried Chicken & Pizza,chicken,"Danforth Ave, Toronto",+1 913-820-4220,2.1
Hoai Huong,vietnamese,"The Queensway, Toronto",+1 777-391-8851,1.9
Yuzuki Fish Market,sushi;fish;japanese,"Spadina Ave, Toronto",+1 663-220-5171,4.6
Barque Smokehouse,Sushi,"Roncesvalles Ave, Toronto",+1 880-544-5640,4.8
Pizzeria Defina,Burger,"Roncesvalles Ave, Toronto",+1 704-544-3985,4.5
Gales Snack bar,breakfast;sandwich;burger,"Queen St, Toronto",+1 689-793-2840,1.8
Swiss Chalet,chicken,"Dundas St, Toronto",+1 726-397-6757,1.4
Hibachi Teppanyaki & Bar,Falafel,"Wellington St W, Toronto",+1 711-118-2982,1.6
The Olive Restaurant & Grill,Falafel,"Bloor St, Toronto",+1 657-414-3896,2.9
Jolly II Italian Restaurant,Falafel,"Dundas St, Toronto",+1 721-113-8977,4.0
Wakame Sushi,sushi,"Yonge St, Toronto",+1 852-830-6042,3.2
Simply Thai Cuisine,thai,"Bloor St W, Toronto",+1 902-141-9814,5.0
Golden Wok,chinese,"King St, Toronto",+1 989-959-6170,2.4
Famous Laffa,Falafel,"Bay St, Toronto",+1 722-786-7685,3.8
Kiva's,dessert;bagel,"Steeles Ave W, N York",+1 943-537-4753,1.8
Buster's Sea Cove,fish_and_chips,"Bloor St, Toronto",+1 893-534-3298,4.7
Red Hot Tandoori,tandoori,"Danforth Ave, Toronto",+1 884-793-5555,3.1
Wing Wing Restaurant,chinese,"Bloor St, Toronto",+1 714-439-6996,1.7
Golden Thai,thai,"Church St, Toronto",+1 793-884-9461,2.7
Gyu-Kaku,japanese;barbecue,"Church St, Toronto",+1 809-605-3879,2.0
Fort York Tavern,Salad,"Fort York Blvd, Toronto",+1 856-721-7030,3.7
Lucky Indian Style Chinese Food,indian;chinese,"Lawrence Ave E, Scarborough",+1 935-824-1390,3.8
Jaipur Grille,indian,"Queens Quay W, Toronto",+1 723-451-9854,2.1
Hakka #1,hakka,"Spadina Ave, Toronto",+1 883-325-6916,2.2
Lakeside Local Bar & Grill,Steak,"King St, Toronto",+1 643-721-3889,1.8
Hoya Sushi,sushi,"Yonge St, Toronto",+1 860-170-7078,4.5
Burger Boy Restaurant,burger,"Bloor St, Toronto",+1 620-700-1108,3.0
Callaloo Taste of the Caribbean,caribbean,"Dundas St, Toronto",+1 646-170-1976,3.2
Flava Ceen,caribbean,"Bay St, Toronto",+1 973-965-5926,4.6
The Only Cuisine,Pizza,"Bay St, Toronto",+1 836-140-5590,4.9
Kabul-Tehran Restaurant,Burger,"King St, Toronto",+1 626-608-8138,5.0
Pho Thien Phat,vietnamese,"Spadina Ave, Toronto",+1 876-987-7488,3.1
Mulan Chinese Cuisine,chinese,"King St, Toronto",+1 696-956-9452,4.5
Freshii,salad,"Dundas St W, Toronto",+1 691-479-9639,4.8
Lee Restaurant,Ramen,"Bloor St, Toronto",+1 715-151-1253,4.3
Lou Dawgs,Pasta,"Dundas St, Toronto",+1 726-906-1952,1.5
Public Gardens,BBQ,"King St W, Toronto",+1 617-782-9491,1.1
Ethiopian House Restaurant,ethiopian,"Irwin Ave, Toronto",+1 952-858-1016,3.3
Kothur,indian,"Lake Shore Blvd W, Toronto",+1 935-342-3255,5.0
il ponte,italian,"King St, Toronto",+1 968-820-7260,2.0
Robo Sushi,asian,"York Mills Rd, N York",+1 892-848-9988,1.6
Nomé Izakaya,japanese,"Spadina Ave, Toronto",+1 922-840-2605,3.2
Fabbrica,italian,"Karl Fraser Rd, Toronto",+1 647-561-6013,3.7
The Green Room,Burger,"Bay St, Toronto",+1 678-731-9457,1.0
Harvest Green,Burger,"Wellington St W, Toronto",+1 869-769-5236,1.4
Carnival,indian,"Bloor St, Toronto",+1 809-739-7015,1.4
Seraphia Inspired Cuisine,Salad,"Yonge St, Toronto",+1 652-467-9898,4.4
Sushi & Tea,sushi,"King St, Toronto",+1 791-434-8234,4.9
Unnamed Restaurant,sushi,"Queen St, Toronto",+1 935-360-3174,2.4
Jodie's Restaurant,Tacos,"Dundas St, Toronto",+1 688-341-8942,4.2
tuanzhang,sushi,"Bay St, Toronto",+1 604-400-4354,2.4
cross-the-bridge noodle,noodle,"Spadina Ave, Toronto",+1 801-590-2878,3.2
Firkin on the Bay,british,"Marine Parade Dr, Toronto",+1 860-647-4449,2.3
Canton Chili,Salad,"Spadina Ave, Toronto",+1 654-978-3743,2.3
Urban Fare Catering & Food Shop,Pizza,"Bay St, Toronto",+1 681-712-2144,4.4
Noodles,BBQ,"Yonge St, Toronto",+1 841-981-4189,2.1
Z-teca Gourmet Burritos,Sushi,"Dundas St, Toronto",+1 813-234-2683,2.3
Pearl Harbourfront Chinese,chinese,"Queens Quay W, Toronto",+1 860-895-9758,3.5
Pie Bar,pizza,"Queens Quay W, Toronto",+1 945-543-4439,4.4
Dumpling Restaurant,chinese,"Sheppard Ave E, Toronto",+1 837-718-7482,3.9
Scarborough Buffet,buffet,"Yonge St, Toronto",+1 990-671-8671,2.7
Gibbos,indian,"King St, Toronto",+1 627-330-8780,4.4
Lika Restaurant,grill,"Bloor St, Toronto",+1 653-622-2731,4.2
Morocco House,moroccan,"King St, Toronto",+1 735-164-1248,2.3
Mister Tasty's Restaurant,Steak,"Yonge St, Toronto",+1 892-852-5395,1.7
Double Sushi,sushi,"Yonge St, Toronto",+1 692-392-7428,4.4
The Dirty Bird,waffle;chicken;sandwich,"Kensington Ave, Toronto",+1 993-363-4639,3.3
Gonoe Sushi,sushi,"Yonge St, Toronto",+1 619-432-5251,2.3
Island Foods West Indian Cuisine,indian,"Yonge St, Toronto",+1 885-787-2682,4.0
Freshii,salad,"King St, Toronto",+1 995-920-5663,4.1
Mardi Gras Restaurant Banquet Hall,Pasta,"Queen St, Toronto",+1 648-706-7656,3.0
swirlcrêpe,Falafel,"Dundas St, Toronto",+1 960-799-7903,4.4
Diyijia,Pasta,"Queen St, Toronto",+1 620-649-2898,4.9
BarChef,Sushi,"Queen St W, Toronto",+1 871-391-1017,2.0
Carlotta Bar,Burger,"King St, Toronto",+1 926-167-1059,4.5
Pho Pasteur,vietnamese,"Queen St, Toronto",+1 640-824-1154,4.7
Santa Marta,Sushi,"Dundas St W, Toronto",+1 996-361-8209,2.4
Panagio's,breakfast,"Queen St, Toronto",+1 679-476-3329,3.3
New Da Fu Seafood Cuisine,chinese,"College St, Toronto",+1 815-534-8439,2.6
Hakka Legend,chinese,"Spadina Ave, Toronto",+1 732-225-5629,4.2
Spring 'N Fresh Rolls,vietnamese;thai,"Yonge St, Toronto",+1 860-106-2980,2.3
Solarium,american;burger;fish_and_chips,"Rexdale Blvd, Etobicoke",+1 793-544-1333,1.5
Niji Sushi,sushi,"Bloor St, Toronto",+1 759-176-3501,3.6
Khmer Thai,thai,"St. Clair Ave W, Toronto",+1 760-825-4890,2.4
Lechon Republik,Burger,"College St, Toronto",+1 988-506-1543,4.4
Si Lom Thai Bistro,thai,"Church St, Toronto",+1 898-547-7781,2.7
Vagabondo Restobar,italian,"Front St W, Toronto",+1 874-579-6685,1.6
Midland Pizza & Wings,pizza,"Bloor St, Toronto",+1 774-606-5255,3.5
La Cubana,cuban,"Roncesvalles Ave, Toronto",+1 739-700-8258,1.7
Kitchen on 6th,Sushi,"Sixth St, Etobicoke",+1 622-271-5617,3.3
Rocco's Plum Tomato,italian,"The Queensway, Etobicoke",+1 880-804-5188,3.3
U-Know Sushi,sushi,"The Queensway, Etobicoke",+1 682-208-8886,3.3
Carlton Burger Palace,burger,"Dundas St, Toronto",+1 936-907-1983,3.1
Eggsmart,breakfast,"Spadina Ave, Toronto",+1 813-255-6661,4.1
P&M Restaurant,Sushi,"Yonge St, Toronto",+1 617-321-4095,4.7
Leziz Kitchen,Ramen,"King St, Toronto",+1 961-167-3226,2.3
St. Louis Bar & Grill,chicken,"Town Centre Court, Scarborough",+1 668-998-2983,1.6
Me Va Me,Ramen,"King St, Toronto",+1 941-691-2248,4.0
Shot House Bar & Grill,Ramen,"Bloor St, Toronto",+1 661-197-8755,1.6
Zakkushi on Carlton,japanese,"Carlton St, Toronto",+1 642-391-9660,1.1
Sweet Mahal,indian,"Dundas St, Toronto",+1 671-266-2508,3.4
Al-Meezan's Spicy Grill,BBQ,"Queen St, Toronto",+1 656-183-4831,3.7
McNies Fish & Chips,Pizza,"Burnhamthorpe Rd, Toronto",+1 830-470-8093,3.0
Good Luck Hakka Indian Style Chinese Food,hakka,"Queen St, Toronto",+1 668-610-4129,1.9
Eggsmart,breakfast,"Rodda Blvd, Toronto",+1 776-692-3567,3.6
Fiamma Ristorante,Tacos,"Queen St, Toronto",+1 790-512-7618,2.1
Prince Japanese Steak House,Sushi,"College St, Toronto",+1 997-180-3732,4.7
Twin Fish,thai,"Bloor St, Toronto",+1 733-855-6125,1.9
The Wokker,chinese,"Yonge St, Toronto",+1 839-312-4665,1.7
Madras Masala,indian;south_indian,"Bloor St W, Toronto",+1 672-320-2873,3.8
Gabby's,Sushi,"Queen St E, Toronto",+1 667-515-9650,5.0
BBQ Chicken Factory,Burger,"Wellesley St E, Toronto",+1 890-461-9042,5.0
Tr International Bake Shop & Restaurant,Pizza,"Parliament St, Toronto",+1 637-226-7834,3.2
Little Shmiddy's Hot Meat House,Burger,"Parliament St, Toronto",+1 992-285-5272,4.5
Tender Trap,chinese,"Parliament St, Toronto",+1 634-210-3264,4.2
L'avenue on Parliament,indian,"Yonge St, Toronto",+1 785-600-5934,2.5
F'Amelia,Steak,"Amelia St, Toronto",+1 839-409-2003,4.2
Butter Chicken Factory,indian,"Parliament St, Toronto",+1 829-720-3512,2.0
Kinyo,Ramen,"Winchester St, Toronto",+1 661-489-5197,4.2
Loaded Pierogi,Tacos,"Church St, Toronto",+1 715-881-4205,4.2
Sang's Great Seafood Restaurant,Salad,"Spadina Ave, Toronto",+1 927-402-8907,2.8
Bank Bao,vietnamese,"Spadina Ave, Toronto",+1 709-693-3508,4.8
Crepe Studio Bistro,french,"Bloor St, Toronto",+1 823-480-3362,1.9
Eggsmart,breakfast,"Eglinton Ave E, Scarborough",+1 759-315-3225,4.6
Fratelli Village Pizzeria,pizza,"Old Kingston Rd, Toronto",+1 797-714-3680,1.8
Thai Room,thai,"Yonge St, Toronto",+1 646-320-5239,4.2
Pho Plus,vietnamese,"Bay St, Toronto",+1 657-515-9316,4.8
Flame Food + Design,turkish;burger,"Bloor St W, Toronto",+1 956-233-7480,4.6
China Cottage,chinese,"King St, Toronto",+1 969-507-3082,3.8
Miyako Sushi,japanese,"Bay St, Toronto",+1 829-238-1727,1.3
Public Kitchen,Falafel,"Spadina Ave, Toronto",+1 998-287-2678,2.3
Tamayan,asian,"Bloor St, Toronto",+1 735-285-6745,4.0
Swiss Chalet,chicken,"Dufferin St, N York",+1 813-853-6611,3.6
The Keg,steak_house,"The W Mall, Etobicoke",+1 652-507-1618,1.4
Indraprastha,indian,"Baldwin St, Toronto",+1 993-944-8423,3.0
Margarita's Mexican Fiesta,mexican,"Baldwin St, Toronto",+1 992-990-2538,2.2
Osaka Sushi,japanese,"Bloor St W, Toronto",+1 811-682-9944,4.5
The Fifth Grill & Terrace,french,"Richmond St W, Toronto",+1 799-523-6877,2.9
Pho Vietnamese Noodle,vietnamese,"Yonge St, Toronto",+1 999-187-3598,2.1
Crystal Buffet,Pizza,"King St, Toronto",+1 978-669-7935,2.4
Don Don Izakaya,Tacos,"Dundas St W, Toronto",+1 954-706-3558,1.7
La Chingada,mexican,"Dundas St W, Toronto",+1 972-110-7693,3.2
Pizzeria Via Mercanti,italian,"Augusta Ave, Toronto",+1 949-791-4760,1.1
Queen Margherita Pizza,italian_pizza,"Dundas St W, Toronto",+1 622-675-2776,4.0
Thai Room,thai;malaysian,"Carlton St, Toronto",+1 634-972-8281,1.4
Lola's Catering,Pasta,"Bay St, Toronto",+1 631-655-4153,3.5
Comal Y Canela,mexican,"Jane St, Toronto",+1 967-814-1411,3.7
Donerland,turkish,"Dundas St, Toronto",+1 743-184-4305,1.7
Ola Restaurant,Pasta,"Bloor St, Toronto",+1 670-340-6193,4.2
Bamboo Kitchen,Tacos,"Parliament St, Toronto",+1 814-673-9352,4.7
Unnamed Restaurant,Salad,"Parliament St, Toronto",+1 687-984-1416,2.3
Sukho Thai,thai,"Bloor St, Toronto",+1 982-672-3529,2.7
Turtle Pizza & Wing,pizza,"Queen St, Toronto",+1 743-351-6137,3.5
Yummy Gardens,thai,"Victoria Park Ave, Toronto",+1 690-611-7022,4.5
Carver,Pizza,"Peter St, Toronto",+1 993-415-8850,3.1
Charminar,indian;biryani;dosa,"Warden Ave, Toronto",+1 799-288-3032,3.4
Pimentas Grill,portuguese,"College St, Toronto",+1 836-427-1658,2.8
Kasai Grill House,Salad,"College St, Toronto",+1 687-355-8482,2.3
Grapefruit Moon,Tacos,"Bathurst St, Toronto",+1 884-962-7904,2.2
Congee Town,chinese,"Spadina Ave, Toronto",+1 934-912-5646,4.6
Saravanaa Bhavan,indian,"Spadina Ave, Toronto",+1 742-645-6330,2.0
Gabby's,Burger,"King St E, Toronto",+1 674-853-3472,2.7
Petit Dejeuner,belgian;canadian,"King St E, Toronto",+1 776-737-1749,4.9
Hotspot Cafe,Pasta,"King St E, Toronto",+1 743-308-4483,1.8
Alder & The Sparrow Restaurant & Bar,Salad,"King St, Toronto",+1 807-847-8620,2.2
Dragon Pearl,chinese,"Bloor St, Toronto",+1 819-208-2328,1.0
